,uci_moves
265,c2c4 e7e6 g1f3 d7d5 g2g3 c7c6
266,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1
267,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 c7c5 b2b3 b8c6 e1g1 f8e7
268,c2c4 e7e6 g1f3 d7d5 b2b3 g8f6 c1b2 c7c5 e2e3
269,c2c4 f7f5
270,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3
271,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6
272,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3
273,c2c4 g8f6 b1c3 g7g6 g1f3 f8g7 e2e4
274,c2c4 g8f6 b1c3 e7e6 e2e4 d7d5 e4e5
275,c2c4 g8f6 b1c3 e7e6 e2e4
276,c2c4 g8f6 b1c3 e7e6 e2e4 b8c6
277,c2c4 g8f6 b1c3 e7e6 e2e4 c7c5
278,c2c4 g8f6 b1c3 e7e6 e2e4 c7c5 e4e5 f6g8
279,c2c4 g8f6 b1c3 e7e6
280,c2c4 g8f6 g1f3 g7g6
281,c2c4 g8f6 g1f3 g7g6 g2g3 b7b6 f1g2 c8b7
282,c2c4 g8f6 g1f3
283,c2c4 g8f6
284,c2c4 g8f6 b1c3 e7e6 g1f3 f8b4
285,c2c4 g8f6 g1f3 d7d6
286,c2c4 g8f6 g1f3 e7e6 g2g3 b7b6 f1g2 c8b7
287,c2c4 g8f6 g1f3 b7b6
288,c2c4 g8f6 b1c3
289,c2c4 g8f6 b1c3 e7e6 g1f3 b7b6
290,c2c4 g8f6 b1c3 e7e6 g1f3 b7b6 e2e4 c8b7 f1d3
291,c2c4 g8f6 g1f3 e7e6 g2g3 a7a6 f1g2 b7b5
292,c2c4 g8f6 g1f3 e7e6 g2g3 a7a6
293,c2c4 g8f6 g1f3 d7d5 c4d5 f6d5
294,c2c4 g8f6 g1f3 d7d5
295,c2c4 g8f6 g1f3 g7g6 g2g3 c7c6
296,c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 g2g4
297,c2c4 b8c6
298,c2c4 d7d5
299,c2c4 c7c6
300,c2c4 e7e5 g2g3 h7h5
301,c2c4 e7e6 d2d4 b7b6
302,c2c4
303,c2c4 g8f6 b1c3 d7d5
304,c2c4 g7g6
305,c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 b7b5
306,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e4
307,c2c4 e7e5 b1c3 g8f6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e4 e8g8 g1e2 c7c6 e1g1 a7a6
308,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 c8e6
309,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3
310,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6
311,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 d2d4 e5d4 f3d4 f8b4 c1g5 h7h6 g5h4 b4c3 b2c3 c6e5
312,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e4
313,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 d2d4 e5e4
314,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 g2g3
315,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 d2d3
316,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6
317,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 a2a3
318,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3 f8b4 d1c2 b4c3
